Model year,Make,Model,Trim,Fuel Type, Incentive for Purchase or 48 month Lease , Incentive for 12 month Lease , Incentive for 24 month Lease , Incentive for 36 month Lease ,Eligibility date
2022,Chevrolet,Bolt,LT,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-18
2022,Chevrolet,Bolt EUV,LT,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-18
2022,Chevrolet,Bolt EUV,Premier,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-18
2021,Chevrolet,Bolt,LT (2LT),BEV,"$5,000","$1,250","$2,500","$3,750",2020-11-10
2021,Chevrolet,Bolt,Premier (2LZ),BEV,"$5,000","$1,250","$2,500","$3,750",2020-11-10
2020,Chevrolet,Bolt,LT (2LT),BEV,"$5,000","$1,250","$2,500","$3,750",2019-09-16
2020,Chevrolet,Bolt,Premier (2LZ),BEV,"$5,000","$1,250","$2,500","$3,750",2019-09-16
2018,Chevrolet,Bolt,LT (2LT),BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018,Chevrolet,Bolt,Premier (2LZ),BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018,Chevrolet,Volt,LT (2LT),PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018,Chevrolet,Volt,Premier (2LZ),PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2023,Chrysler,Pacifica,Touring-L,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-01-09
2023,Chrysler,Pacifica,Limited,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-01-09
2023,Chrysler,Pacifica,Pinnacle,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-01-09
2022,Chrysler,Pacifica,Touring-L,PHEV,"$5,000","$1,250","$2,500","$3,750",2021-11-25
2022,Chrysler,Pacifica,Limited,PHEV,"$5,000","$1,250","$2,500","$3,750",2021-11-25
2022,Chrysler,Pacifica,Pinnacle,PHEV,"$5,000","$1,250","$2,500","$3,750",2021-11-25
2021,Chrysler,Pacifica,Touring,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-11-09
2021,Chrysler,Pacifica,Touring-L Plus,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-11-09
2021,Chrysler,Pacifica,Limited,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-11-09
2021,Chrysler,Pacifica,Pinnacle,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-11-09
2020,Chrysler,Pacifica,Touring,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-09-16
2020,Chrysler,Pacifica,Touring L,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-09-16
2020,Chrysler,Pacifica,Limited,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-09-16
2017,Chrysler,Pacifica,Touring,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017,Chrysler,Pacifica,Touring L,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017,Chrysler,Pacifica,Touring Plus,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017,Chrysler,Pacifica,Premium,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017,Chrysler,Pacifica,Platinum,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017,Chrysler,Pacifica,Limited,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2024,Dodge,Hornet,R/T PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-06-02
2024,Dodge,Hornet,R/T Plus PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-06-02
2023,Ford,Escape,PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-10-15
2023,Ford,Mach-E,Select RWD Standard Range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-05
2023,Ford,Mach-E,Select eAWD Standard Range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-05
